Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2023-02-10,0.1751773,34.7582092,18.2852993,,3.6916667,12.3624999,54,3.5,42,10.8,283,0.4,14.5,12.9,82.0,22.2,11.8,-,-,-,-,-,-,1018.9,1018.2,-,22.86,5272.195205479452,312.6970954356847
2023-02-11,0.1452057,20.5189934,15.5243168,,3.9291666,10.6708334,222,2.3,73,8.2,184,0.0,17.5,15.3,78.0,23.8,13.3,-,-,-,-,-,-,1020.6,1019.9,-,20.88,4766.642123287671,271.41701244813277
2023-02-12,0.1239291,18.8266907,11.1117983,,3.7041667,12.2,43,1.9,60,11.8,288,0.4,18.0,16.1,81.0,22.6,13.3,-,-,-,-,-,-,1016.1,1015.4,-,26.09,5595.919064748202,564.3017621145375
2023-02-13,0.1638369,33.7115822,16.3324451,,4.65,14.7999999,353,1.7,-,-,-,-,15.9,15.1,91.0,-,12.8,-,-,-,-,-,-,1010.6,1009.9,-,-,5460.64527027027,503.9755102040816
2023-02-14,0.1395461,29.5348206,16.1616554,,5.6833333,19.0666666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5722.739864864865,512.3469387755102
2023-02-15,0.0729007,11.0454674,9.3645325,,1.8791667,3.3666667,224,5.0,207,15.4,415,16.2,14.5,14.1,95.0,17.2,-,-,-,-,-,-,-,1002.2,1001.5,-,5.66,6075.4121621621625,553.6285714285714
2023-02-16,0.0681348,12.1665468,8.6099281,,3.7625,12.8125,207,3.8,214,12.9,327,0.0,15.0,13.6,85.0,21.5,14.2,-,-,-,-,-,-,1011.4,1010.7,-,24.28,6334.3074204947,576.8059071729958
2023-02-17,0.1299929,20.5227337,12.0177698,,3.0166667,13.0708333,229,3.0,205,9.3,170,0.0,15.6,12.9,72.0,22.1,13.9,-,-,-,-,-,-,1014.5,1013.8,-,18.66,5164.2958477508655,283.7384937238494
2023-02-18,0.1628865,26.8591366,13.6324463,,2.8125,9.2083334,62,1.5,64,8.8,316,0.0,16.9,15.3,84.0,22.2,10.9,-,-,-,-,-,-,1018.4,1017.7,-,23.29,4925.682130584192,270.59128630705396
2023-02-19,0.1305461,20.3429489,14.5425901,,4.6083334,12.4291667,74,3.0,254,8.2,243,0.0,19.3,17.3,81.0,28.2,16.4,-,-,-,-,-,-,1017.1,1016.4,-,23.47,5790.249140893471,571.2178423236514
